"Site","R2_sfet_site","R2_ssebop","Mean Average Precipitation (mm)","Aridity_Index"
"US-A32",0.8,0.7,889,0.454800009727478
"US-A74",0.72,0.45,889,0.470400005578995
"US-AR1",0.54,0.45,652.278,0.304199993610382
"US-AR2",0.45,0.4,644.2015,0.310699999332428
"US-ARb",0.79,0.56,890.433,0.436199992895126
"US-ARM",0.48,0.43,843,0.492000013589859
"US-Bkg",0.78,0.51,585.76,0.497599989175797
"US-Blk",0.45,0.25,573.79,0.419800013303757
"US-Br1",0.77,0.63,842.33,0.711399972438812
"US-ChR",0.69,0.63,1358.85,0.972800016403198
"US-Cop",0.21,0.12,341.104,0.18970000743866
"US-Ctn",0.42,0.21,470.8525,0.288599997758865
"US-Fmf",0.9,0.49,546,0.319900006055832
"US-FPe",0.66,0.51,334.8,0.231700003147125
"US-Fuf",0.79,0.52,562,0.331000000238419
"US-Fwf",0.59,0.34,557,0.299199998378754
"US-Goo",0.8,0.62,1425.77,0.949199974536896
"US-KLS",0.51,0.43,812,0.451099991798401
"US-Kon",0.79,0.6,867,0.594900012016296
"US-MMS",0.59,0.26,1032,0.938199996948242
"US-MOz",0.85,0.62,986,0.737100005149841
"US-Ne1",0.71,0.6,790.37,0.580200016498566
"US-Ne2",0.7,0.61,788.89,0.580200016498566
"US-Ne3",0.72,0.66,783.68,0.577499985694885
"US-NR1",0.2,0.16,800,0.4375
"US-Rls",0.42,0.18,333,0.244100004434586
"US-Rms",0.71,0.47,800,0.360300004482269
"US-Rws",0.37,0.14,290,0.210099995136261
"US-SFP",0.79,0.56,738.8825,0.492900013923645
"US-WBW",0.67,0.52,1372.05,0.966600000858307
"US-Wdn",0.03,0.01,421.195,0.612299978733063
"US-Whs",0.48,0.46,320,0.14810000360012
"US-Wlr",0.69,0.63,881,0.52539998292923
